,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
53,2018-03-23,600779.XSHG,-3.65,-264.9147,-1.4384,-111.1982,-0.6038,-153.7165,-0.8347,167.7028,0.9106,97.2119,0.5278
54,2018-03-26,600779.XSHG,4.5,1557.8192,4.4536,1807.8515,5.1684,-250.0323,-0.7148,-724.2827,-2.0706,-833.5366,-2.383
55,2018-03-27,600779.XSHG,0.09,59.4028,0.256,-1101.026,-4.745,1160.4288,5.001,-1697.0997,-7.3139,1637.6969,7.0579
56,2018-03-28,600779.XSHG,-2.76,-4395.4316,-11.8906,-1506.3056,-4.0749,-2889.126,-7.8157,-911.5504,-2.4659,5306.982,14.3566
57,2018-03-29,600779.XSHG,0.65,591.0229,2.5372,817.2792,3.5085,-226.2563,-0.9713,-1737.7172,-7.4599,1146.6942,4.9227
58,2018-03-30,600779.XSHG,-1.32,-622.6109,-4.5759,-208.3665,-1.5314,-414.2444,-3.0445,-149.0307,-1.0953,771.6417,5.6712
59,2018-04-02,600779.XSHG,0.31,-1735.3049,-6.9147,804.8418,3.2071,-2540.1467,-10.1218,-978.6972,-3.8999,2714.0021,10.8146
60,2018-04-03,600779.XSHG,-0.05,-439.2284,-3.2116,-406.2603,-2.9706,-32.9681,-0.2411,352.2967,2.576,86.9317,0.6356
61,2018-04-04,600779.XSHG,5.08,2443.871,6.7116,722.5538,1.9843,1721.3172,4.7272,169.7397,0.4662,-2613.6108,-7.1777
62,2018-04-09,600779.XSHG,0.33,-273.8162,-1.9284,-51.4333,-0.3622,-222.3829,-1.5662,-552.1734,-3.8888,825.9895,5.8172
63,2018-04-10,600779.XSHG,0.33,-3999.848,-20.8326,-2985.8345,-15.5513,-1014.0135,-5.2813,2046.1431,10.657,1953.705,10.1756
64,2018-04-11,600779.XSHG,2.1,-1015.4896,-4.1512,-390.6209,-1.5968,-624.8687,-2.5544,-37.0979,-0.1517,1052.5876,4.3029
65,2018-04-12,600779.XSHG,-1.78,-2426.0623,-11.1271,-799.3202,-3.6661,-1626.7421,-7.461,-158.1905,-0.7255,2584.2528,11.8527
66,2018-04-13,600779.XSHG,-2.23,-2610.4913,-19.7217,-878.1352,-6.6341,-1732.3561,-13.0876,70.0741,0.5294,2540.4172,19.1923
67,2018-04-16,600779.XSHG,1.08,-1295.2558,-12.3728,-2.7247,-0.026,-1292.5311,-12.3468,261.723,2.5001,1033.5327,9.8727
68,2018-04-17,600779.XSHG,0.36,-1928.6042,-15.4108,-531.428,-4.2465,-1397.1762,-11.1643,848.582,6.7807,1080.0223,8.6301
69,2018-04-18,600779.XSHG,0.44,-1301.1615,-5.3783,-263.3056,-1.0884,-1037.8559,-4.2899,384.256,1.5883,916.9057,3.79
70,2018-04-19,600779.XSHG,1.0,-3600.0431,-15.605,-2828.9775,-12.2627,-771.0656,-3.3423,2353.6167,10.2022,1246.4263,5.4029
71,2018-04-20,600779.XSHG,-1.27,-3821.7569,-21.2726,-1715.0772,-9.5464,-2106.6797,-11.7261,-199.3146,-1.1094,4021.0716,22.382
72,2018-04-23,600779.XSHG,-4.04,-2703.8796,-14.9348,-1290.5557,-7.1283,-1413.3239,-7.8064,694.5925,3.8366,2009.2872,11.0982
73,2018-04-24,600779.XSHG,0.79,-4978.7936,-19.5436,-2530.4699,-9.933,-2448.3237,-9.6106,1063.9496,4.1764,3914.8441,15.3672
74,2018-04-25,600779.XSHG,-2.32,-5471.8426,-23.5692,-2793.9313,-12.0345,-2677.9113,-11.5348,-78.6087,-0.3386,5550.4514,23.9078
75,2018-04-26,600779.XSHG,-5.95,-6236.1082,-17.8501,-2681.7504,-7.6762,-3554.3578,-10.1739,-1899.9761,-5.4384,8136.0843,23.2885
76,2018-04-27,600779.XSHG,0.07,-1622.2906,-10.1574,-372.1829,-2.3303,-1250.1077,-7.8271,605.3467,3.7902,1016.9438,6.3672
77,2018-05-02,600779.XSHG,2.3,-1679.2818,-7.9798,-381.2575,-1.8117,-1298.0243,-6.1681,1406.4413,6.6833,272.8405,1.2965
78,2018-05-03,600779.XSHG,2.98,-1605.0473,-6.2566,921.1318,3.5907,-2526.1791,-9.8473,1510.8635,5.8895,94.1837,0.3671
79,2018-05-04,600779.XSHG,0.95,536.3696,3.2545,-859.4476,-5.2149,1395.8172,8.4694,108.6748,0.6594,-645.0444,-3.9139
80,2018-05-07,600779.XSHG,6.06,7507.9432,19.771,2816.1265,7.4158,4691.8167,12.3552,-1465.6985,-3.8597,-6042.2448,-15.9113
81,2018-05-08,600779.XSHG,3.54,2012.9016,5.772,2495.0041,7.1544,-482.1025,-1.3824,175.6331,0.5036,-2188.5347,-6.2756
82,2018-05-09,600779.XSHG,0.81,-2979.5953,-10.7305,-407.1761,-1.4664,-2572.4192,-9.2641,1280.7189,4.6123,1698.8763,6.1182
83,2018-05-10,600779.XSHG,2.23,-1679.9417,-5.5739,-117.0896,-0.3885,-1562.8521,-5.1854,-1017.5915,-3.3763,2697.5332,8.9501
84,2018-05-11,600779.XSHG,-1.25,69.7891,0.2818,-328.0033,-1.3245,397.7924,1.6064,153.9012,0.6215,-223.6902,-0.9033
85,2018-05-14,600779.XSHG,3.32,-454.6623,-1.9797,-455.0265,-1.9813,0.3642,0.0016,1233.5088,5.3711,-778.8464,-3.3913
86,2018-05-15,600779.XSHG,0.83,-996.3233,-4.2094,522.4778,2.2074,-1518.8011,-6.4168,-532.474,-2.2496,1528.7974,6.459
87,2018-05-16,600779.XSHG,0.4,353.0328,0.8948,1481.8111,3.756,-1128.7783,-2.8612,-1371.5518,-3.4765,1018.519,2.5817
88,2018-05-17,600779.XSHG,-4.68,-2216.5253,-5.8251,-2759.1806,-7.2512,542.6553,1.4261,-747.0069,-1.9631,2963.5322,7.7882
89,2018-05-18,600779.XSHG,3.25,976.7339,3.4408,-241.6141,-0.8512,1218.348,4.292,-1237.3295,-4.3588,260.5956,0.918
90,2018-05-21,600779.XSHG,0.71,373.6708,2.2516,500.0271,3.013,-126.3563,-0.7614,-710.2668,-4.2798,336.596,2.0282
91,2018-05-22,600779.XSHG,-0.16,299.9375,2.3688,241.7283,1.9091,58.2092,0.4597,-511.6172,-4.0406,211.6798,1.6718
92,2018-05-23,600779.XSHG,-1.73,-410.1116,-2.6249,-180.5964,-1.1559,-229.5152,-1.469,706.8969,4.5244,-296.7853,-1.8996
93,2018-05-24,600779.XSHG,-1.96,-82.3423,-0.6411,-60.3186,-0.4696,-22.0237,-0.1715,348.9064,2.7164,-266.5641,-2.0754
94,2018-05-25,600779.XSHG,-0.17,102.9287,0.7602,8.221,0.0607,94.7077,0.6995,-454.144,-3.3542,351.2153,2.594
95,2018-05-28,600779.XSHG,4.9,4042.4742,11.9453,1972.8489,5.8297,2069.6253,6.1156,-2927.7192,-8.6512,-1114.7551,-3.294
96,2018-05-29,600779.XSHG,-3.44,-1243.1967,-4.4673,-1287.5057,-4.6265,44.309,0.1592,-86.8607,-0.3121,1330.0575,4.7794
97,2018-05-30,600779.XSHG,1.13,464.0748,1.6437,-289.7971,-1.0265,753.8719,2.6702,203.7302,0.7216,-667.805,-2.3654
98,2018-05-31,600779.XSHG,2.8,3561.802,10.4777,2865.4572,8.4293,696.3448,2.0484,-1662.7164,-4.8912,-1899.0856,-5.5865
99,2018-06-01,600779.XSHG,-3.89,-1820.5762,-6.1693,-2962.4649,-10.0388,1141.8887,3.8695,1379.2304,4.6737,441.3458,1.4956
100,2018-06-04,600779.XSHG,8.36,1418.3576,2.9486,2444.6401,5.0822,-1026.2825,-2.1335,-318.8041,-0.6628,-1099.5535,-2.2859
